uvrstitev,id,naslov,avtor,povp_ocena,st_ocen,ocena,st_glasov,zbirka,zap_st_knjige_v_zbirki
1356,6345416,The Wide Game,Michael  West,3.86,207,296,3,"Harmony, Indiana",1
1356,22049639,The Eagle's Secret,Erez Aharoni,3.93,86,296,3,,
1356,22845686,The Genetic Lottery,Allison Goh,3.69,52,296,3,Egalia,1
1356,23304855,On the Other Hand: The Little Anthology of Big Questions,Renée Paule,4.42,77,296,3,,
1356,386043,The Gum Thief,Douglas Coupland,3.50,10383,296,4,,
1356,18498569,The Miniaturist,Jessie Burton,3.61,129949,296,4,The Miniaturist,1
1356,7351218,The Ecological Rift,John Bellamy Foster,4.34,406,296,3,,
1356,25619537,Conscious Parenting: Mindful Living Course for Parents,Nataša Pantović,4.40,50,296,3,AoL Mindfulness,5
1365,25823630,Carly,D.M. Wolfenden,4.44,61,295,3,,
1365,7510368,The Cadaver Factory,Kenneth Jarrett Singleton,4.34,237,295,3,,
1367,7307551,Moore's Mythopoeia,Christopher WunderLee,4.40,20,294,3,,
1367,16074582,Spook House,Michael  West,3.78,244,294,3,"Harmony, Indiana",3
1367,7307795,"Started Early, Took My Dog",Kate Atkinson,3.93,43376,294,4,Jackson Brodie,4
1367,11787752,Our Lady of Alice Bhatti,Mohammed Hanif,3.39,2454,294,3,,
1367,18607725,Shadow Maker,James R. Hannibal,4.15,155,294,3,Nick Baron,2
1367,30153500,A Three Course Meal for the Mind,Renée Paule,4.47,17,294,3,,
1373,353342,The Cross of Lead,Avi,3.63,25389,293,3,Crispin,1
1373,9792287,The Rose Garden,Susanna Kearsley,4.01,31226,293,4,,
1373,41044147,Library of Souls,Ransom Riggs,4.11,137968,293,3,Miss Peregrine's Peculiar Children,3
1376,2590091,Still Life With Psychotic Squirrel,C.B. Smith,3.57,21,292,3,,
1376,66659,Stranger Things Happen,Kelly Link,3.83,5690,292,3,,
1376,22847427,"Trust Trilogy (Trust Trilogy, #1-3; Trust series, #1-8)",Cristiane Serruya,4.06,130,292,3,,
1376,9943270,Dark Triumph,Robin LaFevers,4.13,41291,292,4,His Fair Assassin,2
1380,7602367,Skull Full of Kisses,Michael  West,4.14,66,290,3,,
1380,21523892,Lone Wolf Rising,Jami Brumfield,3.74,778,290,3,The Winters Family Saga,1
1382,80063,Divisadero,Michael Ondaatje,3.51,10932,289,4,,
1382,8559047,Magic Slays,Ilona Andrews,4.39,69675,289,4,Kate Daniels,5
1382,347143,The Abstinence Teacher,Tom Perrotta,3.25,16734,289,4,,
1382,9862827,The Reading Promise: My Father and the Books We Shared,Alice Ozma,3.67,6257,289,4,,
1382,13346578,Imperium,Christian Kracht,3.70,2808,289,3,,
1382,13165142,The Hunger Angel,Herta Müller,3.89,4876,289,2,,
1382,25002020,Sensual Desires,James Sillwood,4.62,29,289,3,Amatore's Restaurant,2
1382,294042,Black Order,James Rollins,4.14,34970,289,3,Sigma Force,3
1382,6604712,Eating Animals,Jonathan Safran Foer,4.19,72420,289,3,,
1382,147865,"Love, Rosie",Cecelia Ahern,3.94,114920,289,3,,
1392,6267237,The Van Alen Legacy,Melissa de la Cruz,3.95,64773,288,4,Blue Bloods,4
1392,8874743,When God Was a Rabbit,Sarah Winman,3.72,38318,288,3,,
1392,25002110,Clandestine Liaisons,James Sillwood,4.62,26,288,3,Amatore's Restaurant,3
1392,22372232,Wildwood Shadows,Scott McElhaney,4.36,22,288,3,,
1396,108942,Bad Luck and Trouble,Lee Child,4.18,78530,287,4,Jack Reacher,11
1396,40923,Theodore Rex,Edmund Morris,4.12,49695,287,4,,
1396,97920,An Ordinary Man: An Autobiography,Paul Rusesabagina,4.18,6238,287,3,,
1396,10560331,"Out of Sight, Out of Time",Ally Carter,4.33,52294,287,4,Gallagher Girls,5
1396,25420340,Dragon Eaters,Janet E. Morris,4.51,123,287,3,Heroika,1
1401,64881,Europeana: A Brief History of the Twentieth Century,Patrik Ouředník,4.09,1823,286,3,,
1401,294046,The Judas Strain,James Rollins,4.15,32775,286,3,Sigma Force,4
1403,7615294,A Reliable Wife,Robert Goolrick,3.29,79640,285,4,,
1403,21403955,Vestige,Scott McElhaney,3.77,98,285,3,,
1403,38820046,21 Lessons for the 21st Century,Yuval Noah Harari,4.16,120829,285,3,,
1406,4955,How We Are Hungry,Dave Eggers,3.75,13169,284,4,,
1406,6233411,Allah's Miracles in the Qur'an,Harun Yahya,4.07,43,284,3,,
1406,6962945,Robert A. Heinlein: In Dialogue with His Century: Volume 1 (1907-1948): Learning Curve,William H. Patterson Jr.,4.15,421,284,3,,
1406,2830067,The Given Day,Dennis Lehane,4.05,24436,284,3,Coughlin,1
1406,16047,A Thread of Grace,Mary Doria Russell,4.00,14146,284,4,,
1406,711901,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,4.29,85703,284,3,,
1406,6323821,Last Night in Twisted River,John Irving,3.77,24879,284,4,,
1406,22817757,The Trouble with Playing Cupid,Tamara Philip,4.05,77,284,3,Cupid,1
1406,19661,Family Matters,Rohinton Mistry,4.02,22190,284,3,,
1415,3874811,"Something, Maybe",Elizabeth Scott,3.72,13236,283,3,,
1415,9282,The Smoke Jumper,Nicholas Evans,4.06,30792,283,4,,
1415,21094993,The Girl Who Saved the King of Sweden,Jonas Jonasson,3.76,51006,283,3,,
1415,41021501,Small Great Things,Jodi Picoult,4.33,300319,283,4,,
1419,42435,In Harm's Way: The Sinking of the USS Indianapolis and the Extraordinary Story of Its Survivors,Doug Stanton,4.28,20497,282,3,,
1419,81499,The Noble Life of The Prophet ﷺ,علي محمد الصلابي,4.39,912,282,4,,
1419,6134826,Blue Moon,Alyson Noel,3.61,96543,282,4,The Immortals,2
1419,3479967,Through Black Spruce,Joseph Boyden,4.12,14183,282,3,,
1419,40611999,Career of Evil,Robert Galbraith,4.19,185269,282,4,Cormoran Strike,3
