uvrstitev,id,naslov,avtor,povp_ocena,st_ocen,ocena,st_glasov,zbirka,zap_st_knjige_v_zbirki
4839,21845524,Let Me Be Your Hero,Julie Haubert,3.57,7,93,1,,
4839,773038,The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams,Deepak Chopra,4.11,63599,93,1,,
4839,17866,Glasshouse,Charles Stross,3.88,10703,93,1,,
4839,20980648,Waistcoats &amp; Weaponry,Gail Carriger,4.15,18874,93,1,Finishing School,3
4839,13157635,Scrap Metal,Harper Fox,4.01,3519,93,1,,
4839,8273741,Elvis Has Not Left the Building,J.R. Rain,3.92,890,93,1,,
4839,21398535,LOVE ISN'T FOR COWARDS: Just Let Love Be,Francis Otieno,4.30,10,93,1,,
4839,6506081,Valley of the Shadow,Tom Pawlik,4.14,237,93,1,,
4839,12160933,Black Site,Dalton Fury,4.15,4195,93,1,Delta Force,1
4839,2230284,The Broken Window,Jeffery Deaver,4.08,18966,93,1,Lincoln Rhyme,8
4839,7353219,The Four Fingers of Death,Rick Moody,3.34,788,93,1,,
4839,22551886,The Sorrow of Angels,Jón Kalman Stefánsson,4.28,1862,93,1,,
4839,2418888,Skim,Mariko Tamaki,3.78,14211,93,1,,
4839,12394246,Pegasus and the New Olympians,Kate O&#39;Hearn,4.44,4646,93,1,Pegasus,3
4839,25405623,"Welcome, Reluctant Stranger",E. Journey,4.06,47,93,1,Between Two Worlds,3
4839,18528158,The People in the Photo,Hélène Gestern,3.83,1694,93,1,,
4839,25573332,GeneStorm: City in the Sky,Paul Kidd,4.56,9,93,1,,
4839,438097,Down the Great Unknown: John Wesley Powell's 1869 Journey of Discovery and Tragedy Through the Grand Canyon,Edward Dolnick,4.01,1810,93,1,,
4839,23241868,A Day of Fire: A Novel of Pompeii,Stephanie Dray,4.18,1622,93,1,,
4839,23378781,Under Different Stars,Amy A. Bartol,4.19,19116,93,1,Kricket,1
4839,18190723,The Causal Angel,Hannu Rajaniemi,4.21,4892,93,1,Jean le Flambeur,3
4839,25451555,"Saga, Vol. 5",Brian K. Vaughan,4.40,62214,93,1,,
4839,31101,Mr. Maybe,Jane Green,3.47,90971,93,1,,
4839,12373142,This Crazy Time: Living Our Environmental Challenge,Tzeporah Berman,4.40,43,93,1,,
4839,23978331,Dixie's Last Stand: Was It Murder or Self-Defense?,John Ferak,3.72,257,93,1,,
4839,21480734,Dataclysm: Who We Are (When We Think No One's Looking),Christian Rudder,3.74,11293,93,1,,
4839,222770,Passion: A Novel of the Romantic Poets,Jude Morgan,3.94,843,93,1,,
4839,22663352,Blackbird Fly,Erin Entrada Kelly,4.17,2281,93,1,,
4839,420466,The Stone Virgins,Yvonne Vera,3.70,253,93,1,,
4839,5558786,Metro 2033,Dmitry Glukhovsky,4.00,49290,93,1,Metro,1
4839,18039963,A House in the Sky,Amanda Lindhout,4.20,56849,93,1,,
4839,40215,Theft: A Love Story,Peter Carey,3.44,3355,93,1,,
4839,1555693,The Red Brush: Writing Women of Imperial China,Wilt L. Idema,4.00,21,93,1,,
4839,29545058,Η Θάλασσα με τα 150 Επίπεδα,Φάνης Παπαγεωργίου,4.40,5,93,1,,
4839,4972965,Four Freedoms,John Crowley,3.61,273,93,1,,
4839,27161189,United as One,Pittacus Lore,4.31,26439,93,1,Lorien Legacies,7
4839,24928568,Almost Famous Women: Stories,Megan Mayhew Bergman,3.47,3037,93,1,,
4839,17830958,The Room,Jonas Karlsson,3.57,4736,93,1,,
4839,36335,Duchessina: A Novel of Catherine de' Medici,Carolyn Meyer,3.70,1576,93,1,Young Royals,5
4839,3001518,by George: A Novel,Wesley Stace,3.68,542,93,1,,
4839,17901125,The Mime Order,Samantha Shannon,4.20,23393,93,1,The Bone Season,2
4839,18371292,A Beautiful Lie,Irfan Master,3.86,682,93,1,,
4839,190830,Crossing the Sierra de Gredos,Peter Handke,3.60,47,93,1,,
4839,15956956,Love and Information,Caryl Churchill,3.88,665,93,1,,
4839,21104828,The Lake House,Kate Morton,4.05,105040,93,2,,
4839,9930368,Stalins kossor,Sofi Oksanen,3.64,3923,93,1,,
4839,27588,Acts of Faith,Philip Caputo,3.94,1762,93,1,,
4839,9917879,The Unwanteds,Lisa McMann,4.12,33093,93,1,Unwanteds,1
4839,2187722,March of the Hooligans,Dougie Brimson,3.49,82,93,1,,
4839,17731888,The Two Sisters of Borneo,Ian  Hamilton,4.05,927,93,1,Ava Lee,6
4839,6631792,The Book of Tomorrow,Cecelia Ahern,3.67,35233,93,1,,
4839,12918295,The Social Conquest of Earth,Edward O. Wilson,4.01,3718,93,1,,
4839,34152958,To Be Where You Are,Jan Karon,4.34,8462,93,1,Mitford Years,14
4839,12394068,A Street Cat Named Bob: How One Man and His Cat Found Hope on the Streets,James Bowen,3.92,53136,93,1,,
4839,33005302,Jack Dawkins,Charlton Daines,4.04,25,93,1,,
4839,15755279,The Intercept,Dick Wolf,3.84,4993,93,1,Jeremy Fisk,1
4839,3355461,Fall From Grace,David Ashton,4.02,322,93,1,Inspector McLevy,2
4839,10100166,The Novel in the Viola,Natasha Solomons,3.78,18771,93,1,,
4839,9644579,The Explosion of the Radiator Hose,Jean Rolin,3.54,41,93,1,,
4839,24453082,Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,3.93,177428,93,1,,
4839,107896,Starter for Ten,David Nicholls,3.61,20665,93,1,,
4839,5967548,The Sound of Building Coffins,Louis Maistros,3.94,433,93,1,,
4839,18913342,Judgment (The Mystic Saga),Scott McElhaney,3.85,204,93,1,,
4839,23197553,Water from My Heart,Charles Martin,4.44,9069,93,1,,
4839,76343,Understanding Earth,John P. Grotzinger,3.95,173,93,1,,
4839,13586877,The Making of Middle-Earth: A New Look Inside the World of J.R.R. Tolkien,Christopher A. Snyder,4.16,151,93,1,,
4839,16579784,"The Complete Calvin &amp; Hobbes, Volume 2",Bill Watterson,4.74,143,93,1,,
4839,29362082,The Great Derangement: Climate Change and the Unthinkable,Amitav Ghosh,4.10,3191,93,1,,
4839,36544973,I Still Dream,James Smythe,3.93,793,93,1,,
4839,35695825,Hunger: A Memoir of (My) Body,Roxane Gay,4.16,92182,93,1,,
4839,29239940,The Orphan's Tale,Pam Jenoff,4.03,73478,93,1,,
4839,49411424,"Spirit Run: A 6,000-Mile Marathon Through North America's Stolen Land",Noé Álvarez,3.54,2420,93,1,,
4839,26123136,Beg For Mercy,Lucian Bane,4.24,710,93,1,Mercy,3
4839,103749,Persian Fire: The First World Empire and the Battle for the West,Tom Holland,4.15,7745,93,1,,
4839,13490570,"Locke &amp; Key, Vol. 5: Clockworks",Joe Hill,4.48,30066,93,1,,
4839,1488008,Kokoda,Peter FitzSimons,4.27,1326,93,1,,
4839,38212148,The Lost Founding Father: John Quincy Adams and the Transformation of American Politics,William J. Cooper Jr.,3.99,180,93,1,,
4839,13611123,Doomsday,Chris Morphew,4.32,682,93,1,The Phoenix files,6
4839,455520,"Hard Questions, Real Answers",William Lane Craig,3.98,365,93,1,,
4839,23282230,Beirut Noir,Iman Humaydan,3.22,95,93,1,,
4839,35504556,Unorthodox,Deborah Feldman,3.96,51372,93,1,,
4839,51187948,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,4.23,83552,93,1,,
4839,35239382,Scrivener's Moon,Philip Reeve,3.98,2422,93,1,Fever Crumb,3
4839,30321105,El Retorno,Dulce Maria Cardoso,4.27,1821,93,1,,
4839,40885164,Unshakeable: Your Financial Freedom Playbook,Anthony Robbins,4.05,12788,93,1,,
4839,29283884,The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,4.06,116055,93,1,Montague Siblings,1
4839,197828,History of America Trotskyism,James P. Cannon,4.41,64,93,1,,
4839,1292192,In the Footsteps of Churchill,Richard   Holmes,3.47,76,93,1,,
4839,43736097,I Wish You All the Best,Mason Deaver,4.19,25444,93,1,,
4839,12058949,Meditacija,Anonymous,4.39,18,93,1,,
4839,50358131,Spindlefish and Stars,Christiane M. Andrews,3.64,208,93,1,,
5015,1471888,SAHM I Am,Meredith Efken,3.41,356,92,1,,
5015,2316750,Up Till Now: The Autobiography,William Shatner,3.84,2988,92,1,,
5015,352676,Coal Black Horse,Robert Olmstead,3.82,1766,92,1,,
5015,1863878,Coffee with Shakespeare,Stanley Wells,3.41,59,92,1,,
5015,12372,The Lay of the Land,Richard Ford,3.91,4180,92,1,,
5015,1355547,All the Sad Young Literary Men,Keith Gessen,2.91,1434,92,1,,
5015,141683,The Betrayal of America: How the Supreme Court Undermined the Constitution &amp; Chose Our President,Vincent Bugliosi,3.99,278,92,1,,
5015,982475,Timoleon Vieta Come Home,Dan Rhodes,3.58,1123,92,1,,
5015,1547375,Sabrina,Lori Wick,4.05,2598,92,1,Big Sky Dreams,2
5015,9560929,"Voices From The Herd: An Anthology For Buffalo, NY",Alycia  Ripley,5.00,4,92,1,,
5015,239105,The Silent Blade,R.A. Salvatore,4.13,19392,92,1,"Forgotten Realms: Paths of Darkness, #1; Legend of Drizzt",11
5015,7431340,Marilyn Monroe: Unseen Archives,Marie Clayton,4.23,569,92,1,,
5015,6740756,Tempestuous,Lesley Livingston,4.02,7703,92,1,Wondrous Strange,3
5015,283845,Zero Girl,Sam Kieth,3.61,451,92,1,Zero Girl,1
5015,3975,Worlds Enough &amp; Time: Five Tales of Speculative Fiction,Dan Simmons,3.74,1290,92,1,,
5015,2900015,Totally God's,Megan Clinton,4.21,39,92,1,,
5015,486913,Morning in America: How Ronald Reagan Invented the 1980's,Gil Troy,3.67,76,92,1,,
5015,2030548,The Secret of the Unicorn,Rachel Roberts,4.08,1725,92,1,Avalon: Web of Magic,4
5015,9376345,Bite Club,Rachel Caine,4.21,29701,92,1,The Morganville Vampires,10
5015,11684163,Kuba Rozpruwacz,Paul Begg,3.69,196,92,1,,
5015,186032,Dead Watch,John Sandford,3.98,10560,92,1,,
5015,65906,Killer Takes All,Erica Spindler,4.14,3830,92,1,Stacy Killian,2
5015,6531232,Emma's Baby,Abbie Taylor,3.62,1544,92,1,,
5015,10464732,La ley del espejo,Yoshinori Noguchi,3.81,650,92,1,,
5015,104380,Sarah,Marek Halter,3.74,9555,92,2,Canaan,1
5015,263463,The City,David Moody,3.86,3544,92,1,Autumn,2
5015,3267321,Pushed: The Painful Truth About Childbirth and Modern Maternity Care,Jennifer Block,4.23,2712,92,1,,
5015,1368417,Bullsh*t or Fertilizer: A Portable Pep Talk,Pierre Bennu,4.63,30,92,1,,
5015,3567200,Moonlight,Rachel Hawthorne,3.80,12626,92,1,Dark Guardian,1
5015,1445345,Feast of Souls,C.S. Friedman,3.90,5582,92,1,The Magister Trilogy,1
5015,2319645,"Surprised by Hope: Rethinking Heaven, the Resurrection, and the Mission of the Church",N.T. Wright,4.25,12824,92,1,,
5015,243430,At the Courts Mercy,KaShamba Williams,4.20,91,92,1,,
5015,8664814,This is Not the End of the Book,Umberto Eco,4.05,2214,92,1,,
5015,6758331,The Darkest Passion,Gena Showalter,4.32,42179,92,2,Lords of the Underworld,5
5015,104287,The Assault on Reason,Al Gore,3.78,7193,92,1,,
5015,1215358,The Age of Turbulence: Adventures in a New World,Alan Greenspan,3.62,6746,92,1,,
5015,2895061,Miles from Nowhere,Nami Mun,3.58,2892,92,1,,
5015,13416236,Whispers at Moonrise,C.C. Hunter,4.35,36783,92,1,Shadow Falls,4
5015,2420281,Twenty Fragments of a Ravenous Youth,Xiaolu Guo,3.55,2046,92,1,,
5015,6574220,Medical Mysteries: From the Bizarre to the Deadly . . . The Cases That Have Baffled Doctors,Ann Reynolds,3.60,207,92,1,,
5015,16106444,Santa's Executive,Carrie Ann Ryan,4.11,710,92,1,"Holiday, Montana",2
5015,712731,The Door Within,Wayne Thomas Batson,3.90,8310,92,1,The Door Within,1
5015,11577576,Thieftaker,D.B. Jackson,3.64,2369,92,1,Thieftaker Chronicles,1
5015,17374029,The Edge of Always,J.A. Redmerski,4.01,36885,92,1,The Edge of Never,2
5015,12364936,Unalive,Cyrus Keith,4.77,13,92,1,NADIA Project,2
5015,17454983,Alpha Girl,Kate Bloomfield,3.41,1064,92,1,Wolfling,1
5015,3625889,Hand of Isis,Jo Graham,4.07,1917,92,1,Numinous World,3
5015,4314,Monsieur Ibrahim et les fleurs du Coran,Éric-Emmanuel Schmitt,3.85,14828,92,1,,
5015,4691109,"Enlightenment: Reason, Tolerance, and Humanity",James Schmidt,3.43,53,92,1,,
5015,13453574,South of Surrender,Laura Kaye,4.26,961,92,1,Hearts of the Anemoi,3
5015,4730656,Jazz Life,William Claxton,4.44,63,92,1,,
5015,9297774,Eve,Anna Carey,3.69,42260,92,1,Eve,1
5015,112879,Once Upon a Crime,Michael Buckley,4.27,18865,92,2,The Sisters Grimm,4
5015,18343870,Post Omerican Easter,Ilyan Kei Lavanway,3.00,2,92,1,,
5015,13246480,Mortality,Christopher Hitchens,4.06,26822,92,1,,
5015,17610236,Carnival,Rawi Hage,3.62,944,92,1,,
5015,17167084,How the Light Gets In,Louise Penny,4.42,64191,92,1,Chief Inspector Armand Gamache,9
5015,17316807,De onvervangbare,Simone Lenaerts,3.94,16,92,1,,
5015,18283209,Poems or Poetry,Byron Goines,5.00,2,92,1,,
5015,11922297,"Heaven Is Here: An Incredible Story of Hope, Triumph, and Everyday Joy",Stephanie Nielson,4.10,10439,92,1,,
5015,39399,Bliss,Lynsay Sands,3.96,2548,92,1,,
5015,6261533,The Silver Blade,Sally Gardner,3.93,2075,92,1,French Revolution,2
5015,833710,The Merchant of Death,D.J. MacHale,3.96,48065,92,1,Pendragon,1
5015,10890812,The Crazy Things Girls Do for Love,Dyan Sheldon,3.27,656,92,1,,
5015,10420713,The Second Coming,John Niven,3.96,6972,92,1,,
5015,1778692,Royal Destiny,Morgan Howell,3.71,1078,92,1,Queen of the Orcs,3
5015,306700,The Wedding Officer: A Novel of Culinary Seduction,Anthony Capella,3.74,2920,92,1,,
5015,7743117,Sacré Bleu: A Comedy d'Art,Christopher Moore,3.77,32386,92,1,,
5015,112292,Dauntless,Jack Campbell,3.96,30459,92,1,The Lost Fleet,1
5015,8345731,If I Loved You I Would Tell You This,Robin    Black,3.76,2543,92,1,,
5015,19069213,The Collected Joe Abercrombie: The Blade Itself/Before they are Hanged/Last Argument of Kings/Best Served Cold/The Heroes/Red Country,Joe Abercrombie,4.69,558,92,1,,
5015,10757806,How to Save a Life,Sara Zarr,3.88,15566,92,1,,
5015,15785020,Šifra podle kabaly,Nathan Erez,3.62,8,92,1,,
5015,11947156,Prince of Wolves,Quinn Loftis,4.02,38994,92,1,The Grey Wolves,1
5015,16300029,y1,Sherrie R. Cronin,3.97,109,92,1,,
5015,18667862,Like No Other,Una LaMarche,3.71,3108,92,1,,
5015,3236750,"Not Quite What I Was Planning, Revised and Expanded Deluxe Edition: Six-Word Memoirs by Writers Famous and Obscure",Larry Smith,3.90,3281,92,1,,
5015,11300302,Alice in Zombieland,Gena Showalter,4.01,43104,92,1,White Rabbit Chronicles,1
5015,9572649,Lazarus Rising,John       Howard,3.81,373,92,1,,
5015,13530012,October Mourning: A Song for Matthew Shepard,Lesléa Newman,4.18,4051,92,1,,
5015,1747741,Serpent's Kiss,Alex Archer,3.82,661,92,1,Rogue Angel,10
5015,18188400,Standing by the Watchtower: Volume 1,C.S. Woolley,4.67,3,92,1,,
5015,15798309,Limitless: Devotions for a Ridiculously Good Life,Nick Vujicic,4.21,846,92,1,,
5015,13528418,"The Parasol Protectorate Boxed Set: Soulless, Changeless, Blameless, Heartless and Timeless",Gail Carriger,4.43,2330,92,1,,
5015,11053078,Scanguards Vampires Books 1-3 (Scanguards Vampires #1-3),Tina Folsom,4.49,579,92,1,,
5015,13096933,Sea Change,Karen   White,3.87,7169,92,1,,
5015,12111823,The Winds of Winter,George R.R. Martin,4.40,9068,92,1,A Song of Ice and Fire,6
5015,11869727,Toxic Charity: How Churches and Charities Hurt Those They Help,Robert D. Lupton,3.95,3688,92,1,,
5015,13592828,Clockwork Angels,Kevin J. Anderson,3.70,3031,92,1,Clockwork Angels,1
5015,7169238,The Flame of Olympus ,Kate O&#39;Hearn,4.25,10770,92,1,Pegasus,1
5015,18490596,The Snow Queen,Michael Cunningham,3.06,6808,92,1,,
5015,10757749,Bunheads,Sophie Flack,3.73,6586,92,1,,
5015,24685431,Petal Storm,Paul Kidd,3.57,7,92,1,,
5015,15943746,Double Cross: The True Story of the D-Day Spies,Ben Macintyre,3.92,10549,92,1,,
5015,15797182,Harvest,Jim Crace,3.61,8277,92,1,,
5015,4950,The Hungry Tide,Amitav Ghosh,3.97,15875,92,1,,
5015,22328549,My Heart and Other Black Holes,Jasmine Warga,3.99,48744,92,1,,
5015,10854953,Constance: The Tragic and Scandalous Life of Mrs. Oscar Wilde,Franny Moyle,3.77,745,92,1,,
5015,10102161,Rome: The Coming of the King,M.C. Scott,4.12,472,92,1,Rome,2
5015,405790,Beautiful Code: Leading Programmers Explain How They Think,Andy Oram,3.76,1468,92,1,,
5015,16429619,The Kiss of Deception,Mary E. Pearson,3.96,111227,92,1,The Remnant Chronicles,1
5015,94053,River Town: Two Years on the Yangtze,Peter Hessler,4.24,11835,92,1,,
5015,14481524,"Fat Chance: Beating the Odds Against Sugar, Processed Food, Obesity, and Disease",Robert H. Lustig,4.16,5493,92,1,,
5015,41995,Nadia Knows Best,Jill Mansell,3.78,6881,92,1,,
5015,18377959,Building a Better Teacher: How Teaching Works,Elizabeth   Green,3.77,1142,92,1,,
5015,101359,The Gallery of Regrettable Food: Highlights from Classic American Recipe Books,James Lileks,4.12,1819,92,1,,
5015,617702,In the Realm of Hungry Ghosts: Close Encounters with Addiction,Gabor Maté,4.50,10060,92,1,,
5015,15873785,Vampire: The Richard Chase Murders,Kevin M. Sullivan,3.72,127,92,1,,
5015,17910076,What Makes This Book So Great,Jo Walton,3.87,1009,92,1,,
5015,13601427,Vremena goda,Anna Borisova,4.16,224,92,1,,
5015,21145700,The Road is a River,Nick Cole,4.32,234,92,1,The Wasteland Saga,3
5015,1318,Last of the Amazons,Steven Pressfield,3.79,2946,92,1,,
5015,86145,The Well-Educated Mind: A Guide to the Classical Education You Never Had,Susan Wise Bauer,3.99,3315,92,1,,
5015,15158,The Camel Club,David Baldacci,4.04,88425,92,1,The Camel Club,1
5015,17234658,A Thousand Pieces of You,Claudia Gray,3.89,56934,92,1,Firebird,1
5015,104902,Child of the Dark Prophecy,T.A. Barron,4.07,6363,92,1,,
5015,17182151,Doctor Who: Who-ology,Cavan Scott,4.25,1939,92,1,,
5015,10813139,The Colonel,Mahmoud Dowlatabadi,3.75,607,92,1,,
5015,307210,Fires in the Dark,Louise Doughty,4.04,706,92,1,,
5015,13477819,Who Could That Be at This Hour?,Lemony Snicket,3.82,26627,92,1,All the Wrong Questions,1
5015,6505696,The Bad Queen: Rules and Instructions for Marie-Antoinette,Carolyn Meyer,3.94,1987,92,1,Young Royals,6
5015,13638751,Faces in the Crowd,Valeria Luiselli,3.63,4749,92,1,,
5015,6996423,Eine Frage der Zeit,Alex Capus,3.95,353,92,1,,
5015,7022896,Odd and the Frost Giants,Neil Gaiman,3.97,32773,92,1,,
5015,29429682,Fisk har ingen fødder,Jón Kalman Stefánsson,3.88,1829,92,1,,
5015,3374236,Eurotrashed,Dougie Brimson,3.40,53,92,1,,
5015,1683513,Mongólia,Bernardo Carvalho,3.75,142,92,1,,
5015,16027941,The Scottish Banker of Surabaya,Ian  Hamilton,4.04,1042,92,1,Ava Lee,5
5015,25465030,Meet Me at the Pier Head,Ruth Hamilton,4.07,91,92,1,,
5015,12813630,The Coldest Girl in Coldtown,Holly Black,3.83,67690,92,1,,
5015,82434,Saving Francesca,Melina Marchetta,3.97,32014,92,1,,
5015,22048412,Nave's Topical Bible,Orville J. Nave,4.37,330,92,1,,
5015,36341263,Gods of Howl Mountain,Taylor  Brown,3.88,2066,92,1,,
5015,140087,Poppy Done to Death,Charlaine Harris,3.87,13896,92,1,Aurora Teagarden,8
5015,41021196,Fool's Assassin,Robin Hobb,4.39,45905,92,1,The Fitz and The Fool Trilogy,1
5015,2736567,God's Middle Finger: Into the Lawless Heart of the Sierra Madre,Richard Grant,3.97,2362,92,1,,
5015,15827432,Convergence (Mystic Saga Book 5),Scott McElhaney,3.94,153,92,1,,
5015,11469379,A Walk Across the Sun,Corban Addison,4.14,17318,92,1,,
5015,25242168,"Empire of Things: How We Became a World of Consumers, from the Fifteenth Century to the Twenty-First",Frank Trentmann,3.81,547,92,1,,
5015,16580450,"The Complete Calvin &amp; Hobbes, Volume 3",Bill Watterson,4.71,105,92,1,,
5015,39931828,Elevation,Stephen King,3.67,95049,92,2,,
5015,10221341,Death Bringer,Derek Landy,4.48,15705,92,1,Skulduggery Pleasant,6
5015,37514017,Jonny Appleseed,Joshua Whitehead,3.99,8964,92,1,,
5015,2225238,Once Upon a Time in the North,Philip Pullman,3.85,14038,92,1,,
5015,46144864,"A Map Is Only One Story: Twenty Writers on Immigration, Family, and the Meaning of Home",Nicole Chung,3.97,703,92,1,,
5015,23579997,Bird's Eye View,Elinor Florence,4.38,382,92,1,,
5015,36742940,Rush,Lisa Patton,3.93,4881,92,1,,
5015,16164271,"Locke &amp; Key, Vol. 6: Alpha &amp; Omega",Joe Hill,4.48,27856,92,1,,
5015,17286667,On the Trail of Genghis Khan: An Epic Journey Through the Land of the Nomads,Tim Cope,4.12,1574,92,1,,
5015,17910155,The Time Traveler's Almanac,Ann VanderMeer,3.85,1071,92,1,,
5015,338407,The Limits of Orthodox Theology: Maimonides' Thirteen Principles Reappraised,Marc B. Shapiro,4.23,94,92,1,,
5015,744321,Secret of the Sirens,Julia Golding,4.05,4826,92,1,The Companions Quartet,1
5015,23055095,The Lost World of Adam and Eve: Genesis 2–3 and the Human Origins Debate,John H. Walton,4.25,1019,92,1,,
5015,34846249,Locking Up Our Own: Crime and Punishment in Black America,James Forman Jr.,4.38,3513,92,1,,
5015,23598680,Chasing Echoes,Jodi Perkins,4.35,402,92,1,Chasing Echoes,1
5015,25838272,The Crossing: My Journey to the Shattered Heart of Syria,Samar Yazbek,3.98,884,92,1,,
5015,27883214,Caraval,Stephanie Garber,3.97,213894,92,1,Caraval,1
5015,12165278,Alle Toten fliegen hoch: Amerika,Joachim Meyerhoff,4.06,2563,92,1,,
5015,23014006,MONEY Master the Game: 7 Simple Steps to Financial Freedom,Anthony Robbins,3.93,19214,92,1,,
5015,51045613,Deacon King Kong,James   McBride,4.20,44410,92,1,,
5015,37955375,Every Exquisite Thing,Cassandra Clare,4.31,6468,92,1,Ghosts of the Shadow Market,3
5015,183656,The Two Princesses of Bamarre,Gail Carson Levine,4.04,70357,92,1,The Two Princesses of Bamarre,1
5015,43684596,Anna at War,Helen Peters,4.63,192,92,1,,
5015,1768156,Churchwardens: A Survival Guide: The Office And Role Of Churchwarden In The 21st Century,Martin Dudley,3.75,12,92,1,,
5015,34304437,A-Ma Alchemy of Love,Nataša Pantović,4.11,47,92,1,AoL Mindfulness,1
5015,13445306,Let the Sky Fall,Shannon Messenger,3.96,12875,92,1,Sky Fall,1
5181,1471896,@Home for the Holidays,Meredith Efken,3.65,135,91,1,,
5181,1143776,Shifting Through Neutral,Bridgett M. Davis,3.82,118,91,1,,
5181,1331422,"Popular Injustice: Violence, Community, and Law in Latin America",Angelina Snodgrass Godoy,4.00,6,91,1,,
5181,163879,Rise of the Vulcans: The History of Bush's War Cabinet,James  Mann,3.91,746,91,1,,
5181,428512,Shakespeare,Michael Wood,4.15,655,91,1,,
5181,6562140,Goddess of the Market: Ayn Rand and the American Right,Jennifer Burns,3.85,731,91,1,,
5181,1933958,Anger: Handling a Powerful Emotion in a Healthy Way,Gary Chapman,4.04,1535,91,1,,
5181,7225322,Rabbit: Chasing Beth Rider,Ellen C. Maze,4.09,195,91,1,,
5181,1030384,Stormrider,David Gemmell,4.23,6425,91,1,The Rigante,4
5181,477362,Suspect,Michael Robotham,3.88,13752,91,1,Joseph O'Loughlin,1
5181,2336565,The Bush Tragedy,Jacob Weisberg,3.75,555,91,1,,
5181,357766,Spellsinger,Rachel Roberts,4.09,1211,91,1,Avalon: Web of Magic,5
5181,7290826,Promises to Keep,Jane Green,3.83,16444,91,1,,
5181,92143,Bone: The Complete Edition,Jeff Smith,4.44,34068,91,1,,
5181,8748031,Counterpoint,Rachel Haimowitz,3.75,3440,91,1,Song of the Fallen,1
5181,6878614,Storm Prey,John Sandford,4.16,19896,91,1,Lucas Davenport,20
5181,8971204,Watch Me Die,Erica Spindler,4.02,2367,91,1,"Stacy Killian, #4; The Malones",5
5181,6589074,Elizabeth Street,Laurie Fabiano,3.93,14860,91,1,,
5181,7624169,Red Hook Road,Ayelet Waldman,3.52,4904,91,1,,
5181,408615,Left to Tell: Discovering God Amidst the Rwandan Holocaust,Immaculée Ilibagiza,4.37,42583,91,1,,
5181,321223,The Noodle Maker,Ma Jian,3.41,959,91,1,,
5181,151718,Knights of the Black and White,Jack Whyte,3.78,4382,91,1,Templar Trilogy,1
5181,10232,"Pathologies of Power: Health, Human Rights and the New War on the Poor",Paul Farmer,4.26,4417,91,1,,
5181,241969,"Between, Georgia",Joshilyn Jackson,3.87,14852,91,1,,
5181,6322036,Bunny: The Book of Random,Huw J. Davies,4.53,17,91,1,,
5181,200620,An Embarrassment of Mangoes: A Caribbean Interlude,Ann Vanderhoof,3.94,5053,91,1,,
5181,6192165,Full Moon,Rachel Hawthorne,3.93,6759,91,1,Dark Guardian,2
5181,6261189,Unholy Ghosts,Stacia Kane,3.65,18008,91,1,Downside Ghosts,1
5181,8854839,Lucifer's Tears,James  Thompson,3.82,2238,91,1,Inspector Kari Vaara,2
5181,397304,From a Hard Rock to a Gem: A Memoir of a Lost Soul,Pamela M. Johnson,3.83,18,91,1,,
5181,109796,Scarlett,Cathy Cassidy,4.04,5926,91,1,,
5181,12866426,Taken at Dusk,C.C. Hunter,4.27,48671,91,1,Shadow Falls,3
5181,82375,The King of Lies,John Hart,3.90,11706,91,1,,
5181,1349164,A Modern History of Hong Kong,Steve Tsang,3.67,177,91,1,,
5181,15251683,Love Letters,Bryan Mooney,3.85,818,91,1,,
5181,78978,Hell,Jeffrey Archer,3.79,5058,91,1,A Prison Diary,1
5181,13562746,"A Night Away (Redwood Pack, #2.5)",Carrie Ann Ryan,4.10,1275,91,1,,
5181,9688919,GhosTV,Jordan Castillo Price,4.36,4019,91,1,PsyCop,6
5181,2033269,Heaven Sent,Jet Mykles,4.24,596,91,1,"Heaven Sent, #1 &amp;",2
5181,9314361,The Halloween Dino Trip,Lea  Schizas,4.33,6,91,1,,
5181,13721337,Chantress,Amy Butler Greenfield,3.81,2469,91,1,Chantress,1
5181,2218252,Rumors,Anna Godbersen,3.85,39029,91,1,Luxe,2
5181,13563391,Blood Sweat and Tea,Tom Reynolds,3.84,3051,91,1,,
5181,15731779,Entwined with You,Sylvia Day,4.19,188837,91,1,Crossfire,3
5181,12257347,Slade,Laurann Dohner,4.20,20505,91,2,New Species,2
5181,5510384,Tricks,Ellen Hopkins,4.29,35044,91,1,Tricks,1
5181,15797326,Zoobiquity: The Astonishing Connection Between Human and Animal Health,Barbara Natterson-Horowitz,4.09,2862,91,1,,
5181,1153501,Thunder Bay,William Kent Krueger,4.21,7697,91,1,Cork O'Connor,7
5181,13580928,Perfect Scoundrels,Ally Carter,4.28,24994,91,1,Heist Society,3
5181,4922079,One Second After,William R. Forstchen,3.94,52740,91,1,After,1
5181,591822,Traitor,Andy McNab,3.87,2024,91,1,Boy Soldier,1
5181,12029628,"Jacoba, dochter van Holland",Simone van der Vlugt,3.65,1245,91,1,,
5181,242241,Chart Throb,Ben Elton,3.55,4510,91,1,,
5181,18283092,End-Time Gangster,Byron Goines,4.50,2,91,1,,
